,M0.1,M0.2,M0.3,M0.4,M0.5,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M3.8,M3.9,M3.10,Año
0,16479059.0,84303437.0,100782496.0,0.0,100782496.0,84303.43699999999,39307.077000000005,36580.705,20986.834000000003,15593.871,60293.911,148268617.0,42218041.0,44970669.0,144597348.0,189568017.0,227067012.0,61063877.0,71045579.0,189568017.0,7556404.0,13879199.0,274492795.0,481348405.0,274492795.0,275737039.0,493827761.0,1996
1,27731994.0,140061267.0,167793261.0,0.0,167793261.0,140061.26700000002,69161.15800000001,66592.05600000001,42315.14,24276.915999999997,111476.298,258149160.0,79387757.0,86087554.0,251537565.0,337625119.0,401463769.0,118805401.0,138624540.0,337625119.0,13580948.0,22305643.0,498555302.0,868518889.0,498555302.0,500999491.0,892975863.0,1997
2,31214926.0,147351608.19770002,178566534.1977,0.0,178566534.1977,147351.6082,74076.03099999999,71758.449,47903.414000000004,23855.035,121979.445,276166185.19780004,92854800.0,99612772.0,269331053.19780004,368943825.1978,437843959.1976,143011975.0,167322151.0,368943825.1978,15016860.0,24491898.0,560757874.1976,1013123000.1977999,560757874.1976,562653576.1976,1040608664.1977999,1998
3,29991109.0,143889607.22770002,173880716.2277,0.0,173880716.2277,143889.60729999997,71006.29100000001,70372.83799999999,43772.02500000001,26600.812999999995,114778.316,267062439.22779998,91849246.0,98574119.0,258667923.22779998,357242042.2278,432259790.2278,146184871.0,161540287.0,357242042.2278,17955027.0,27785937.0,546568266.2277999,1069884005.2278001,546568266.2277999,548916846.2277999,1096461504.2278001,1999
4,28373995.0,138265176.362,166639171.362,0.0,166639171.362,138265.1764,68193.674,70499.355,45912.96599999999,24586.388999999996,114106.64,260600914.36200002,90740074.0,97867764.0,252371816.36200002,350239580.36200005,424637848.362,140662494.0,155936867.0,350239580.36200005,19613323.0,29634032.0,535810479.36200005,1104668618.3620002,535810479.36200005,538062346.362,1136842730.3620002,2000
5,25403830.0,122004864.3823,147408694.38230002,8275984.0,155684678.38230002,122004.8644,62208.019,54054.65499999999,28875.613,25179.041999999998,91083.63200000001,227196517.38230002,72258647.0,76613480.0,213088496.38230002,289701976.3823,380525450.3823,109254851.0,119210680.0,289701976.3823,18618844.0,29162832.0,438075488.3823,1013101855.3823,438075488.3823,439185115.3823,1042068790.3823,2001
6,22614276.0,154796329.0,177410605.0,85701098.0,263111703.0,154796.329,121172.984,52383.056,27020.168999999994,25362.887,148193.15300000002,307737370.0,129090263.0,137033385.0,302989482.0,440022867.0,451789250.0,333832083.0,351755016.0,440022867.0,105272464.0,121251690.0,913029573.0,950607328.0,913029573.0,916268452.0,954252836.0,2002
7,33698039.0,242900699.0,276598738.0,169380517.0,445979255.0,242900.69900000002,145584.118,89845.03000000001,60731.836,29113.194,206315.954,455765625.0,123271408.0,136874704.0,449216653.0,586091357.0,602054667.0,422686236.0,467792629.0,586091357.0,82638583.0,102482639.0,1156366625.0,1206100343.0,1156366625.0,1159341061.0,1209248846.0,2003
8,42673299.0,333163763.0,375837062.0,196068975.0,571906037.0,333163.763,199886.61000000002,160866.216,128410.716,32455.499999999993,328297.326,666623844.0,194917442.0,236982354.0,661461089.0,898443443.0,952089137.0,373740987.0,474404337.0,898443443.0,77264782.0,101184162.0,1474031942.0,1588609829.0,1474031942.0,1477460254.0,1592097613.0,2004
9,51179771.0,428730179.0,479909950.0,151805919.0,631715869.0,428730.179,248141.93600000002,185968.78699999998,135659.55199999997,50309.235,383801.488,817785551.0,236103982.0,291519015.0,812531667.0,1104050682.0,1163068066.0,444472989.0,579581065.0,1104050682.0,67476557.0,98964089.0,1782595836.0,1920259863.0,1782595836.0,1788661095.0,1926427273.0,2005
